Entity Name,Count,Normalized Name
Seller,116,Seller
Buyer,107,Buyer
Authority,22,Authority
"Ship Masters, Agents",22,Master/Agent
General,21,General
Vessel,21,Vessel
Shipping Agent/Vessel,20,Shipping Agent/Vessel
Port Master,16,Harbour Master
Yangshan Port,13,Yangshan Port
Vessel Operator (Departing),12,Vessel Operator
Port of Singapore,11,Port of Singapore
Seafarers,10,Seafarer
Digitalization Initiatives,8,Digitalization Initiative
Ships,8,Vessel
Vessels,8,Vessel
Blockchain Technology,8,Blockchain Technology
Vessel (Arriving),7,Vessel
CUSTOMER,7,Customer
Single Hulled Tanker,6,Tanker (Single Hulled)
EPC User,6,EPC User
General (Maritime Industry),6,General (Maritime Industry)
Importer,6,Importer
Shipping Agent,6,Shipping Agent
Shipping Agent (for Container Vessel),6,Shipping Agent (for Container Vessel)
Shipper/Freight Forwarder,5,Shipper/Freight Forwarder
Shippers of Dangerous Goods,5,Shipper (Hazardous/Dangerous Goods)
ROT Services - Forklift,5,ROT Service (Specific)
Port of Rotterdam,5,Port of Rotterdam
Seagoing Container Vessel,5,Container Vessel (Sea-going)
Crew Members,5,Crew Member
Safety Self-Check Checklist,5,Safety Self-Check Checklist
Port-Based BWT vs Shipboard Systems,5,Ballast Water Treatment (Port vs Ship)
Port Users,5,Port User
Hazardous Cargo Shippers,4,Shipper (Hazardous/Dangerous Goods)
Intelligent Production Control System,4,Intelligent Production Control System
Companies Violating Chemical Ban,4,Company (Violating Chemical Ban)
Vessels Operating at Yangshan,4,Vessel
FOB,4,FOB
Empty Container Logistics,4,Empty Container Logistics
ROT Services - Portal Crane,4,ROT Service (Specific)
"Shipper, Freight Forwarder",4,Shipper/Freight Forwarder
High-Risk Vessels,4,Vessel (High Risk)
Port State Control Officers,4,Port State Control Officer
Customer,4,Customer
ROT Services,4,ROT Service (General)
Client,4,Customer
Trader/Business,4,Trader/Business
Regulations on International Maritime Transportation,3,Regulation (International Maritime Transportation)
Cabotage Pilot Program,3,Cabotage Pilot Program
